시도,시군구,연령,성별,전체대상자수,전체수검자수,위암대상자수,위암수검자수,대장암대상자수,대장암수검자수,간암대상자수,간암수검자수,유방암대상자수,유방암수검자수,자궁경부암대상자수,자궁경부암수검자수,폐암대상자수,폐암수검자수
대전광역시,동구,55-59세,여자,6628,3692,3082,2271,6216,2389,180,146,3049,2309,2983,2113,3,0
대전광역시,동구,60-64세,남자,7013,4138,4461,3077,6484,2806,239,187,,,,,426,232
대전광역시,동구,60-64세,여자,8137,5451,5249,3966,7442,3619,245,204,5290,4123,5080,3582,10,3
대전광역시,동구,65-69세,남자,5420,3079,2374,1722,5176,2404,183,145,,,,,221,116
대전광역시,동구,65-69세,여자,6177,3740,2880,2264,5889,2765,154,128,2885,2307,2770,1955,5,5
대전광역시,동구,70-74세,남자,3813,2395,2348,1702,3608,1844,108,79,,,,,129,61
대전광역시,동구,70-74세,여자,4713,2897,2934,2138,4481,2160,122,93,2934,2145,2820,1769,6,4
대전광역시,동구,75-79세,남자,2797,1451,1196,810,2715,1223,64,40,,,,,,
대전광역시,동구,75-79세,여자,3498,1588,1523,1001,3381,1214,89,66,1507,951,1440,743,,
대전광역시,동구,80-84세,남자,1743,791,1134,616,1672,617,43,23,,,,,,
대전광역시,동구,80-84세,여자,2625,891,1686,689,2539,620,38,19,1663,627,1613,428,,
대전광역시,동구,85세 이상,남자,842,180,361,96,830,137,12,4,,,,,,
대전광역시,동구,85세 이상,여자,1773,192,826,114,1755,132,24,6,812,95,799,60,,
대전광역시,중구,20-24세,여자,2846,1047,,,,,,,,,2846,1047,,
대전광역시,중구,25-29세,여자,2531,1521,,,,,,,,,2531,1521,,
대전광역시,중구,30-34세,여자,3119,2019,,,,,,,,,3119,2019,,
대전광역시,중구,35-39세,여자,2356,1646,,,,,,,,,2356,1646,,
대전광역시,중구,40-44세,남자,4507,2944,4409,2855,,,200,157,,,,,,
대전광역시,중구,40-44세,여자,4953,4035,4580,3172,,,145,123,4599,3349,4581,3148,,
대전광역시,중구,45-49세,남자,3704,2528,3536,2382,,,306,240,,,,,,
대전광역시,중구,45-49세,여자,4036,3261,3597,2530,,,228,188,3594,2636,3573,2466,,
대전광역시,중구,50-54세,남자,8194,4304,5322,3412,7739,2537,333,260,,,,,133,48
대전광역시,중구,50-54세,여자,8483,5406,5473,3857,7823,2916,228,187,5506,4028,5393,3680,3,2
대전광역시,중구,55-59세,남자,6972,3194,3106,2012,6670,2174,218,161,,,,,249,100
대전광역시,중구,55-59세,여자,7313,4214,3379,2491,6862,2827,180,148,3392,2580,3285,2318,4,4
대전광역시,중구,60-64세,남자,7083,4243,4534,3141,6574,2975,257,212,,,,,429,209
대전광역시,중구,60-64세,여자,8171,5551,5308,3922,7503,3762,230,192,5307,4016,5192,3560,9,3
대전광역시,중구,65-69세,남자,5636,3291,2550,1887,5362,2571,209,173,,,,,213,107
대전광역시,중구,65-69세,여자,6805,4087,3103,2393,6464,3071,207,167,3097,2425,2965,2070,2,0
대전광역시,중구,70-74세,남자,4274,2759,2709,1986,4012,2114,117,89,,,,,141,57
대전광역시,중구,70-74세,여자,5119,3292,3250,2342,4811,2424,142,104,3244,2340,3122,1942,9,4
대전광역시,중구,75-79세,남자,3090,1566,1256,857,2981,1317,74,51,,,,,,
대전광역시,중구,75-79세,여자,3920,1707,1697,1059,3786,1300,92,56,1673,1004,1614,791,,
대전광역시,중구,80-84세,남자,2058,949,1332,706,1984,767,46,22,,,,,,
대전광역시,중구,80-84세,여자,2850,1070,1850,743,2739,776,52,31,1822,678,1775,476,,
대전광역시,중구,85세 이상,남자,1103,276,481,143,1085,235,19,11,,,,,,
대전광역시,중구,85세 이상,여자,2157,285,963,127,2126,197,37,18,961,110,953,70,,
대전광역시,서구,20-24세,여자,6812,2692,,,,,,,,,6812,2692,,
대전광역시,서구,25-29세,여자,6050,3893,,,,,,,,,6050,3893,,
대전광역시,서구,30-34세,여자,8178,5703,,,,,,,,,8178,5703,,
대전광역시,서구,35-39세,여자,6081,4393,,,,,,,,,6081,4393,,
대전광역시,서구,40-44세,남자,9786,6633,9576,6440,,,487,384,,,,,,
대전광역시,서구,40-44세,여자,11187,9049,10302,6985,,,355,293,10293,7253,10350,7260,,
대전광역시,서구,45-49세,남자,7655,5361,7246,5001,,,687,551,,,,,,
대전광역시,서구,45-49세,여자,9060,7454,8023,5750,,,531,438,7982,5802,8033,5782,,
